Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Andy Dalton (13487206),Andy Dalton,13487206,QB,5700,ARI@CIN 10/06/2019 01:00PM ET,CIN,18.02
WR,Marquise Brown (13487572),Marquise Brown,13487572,WR/FLEX,5700,BAL@PIT 10/06/2019 01:00PM ET,BAL,15.85
QB,Josh Allen (13487207),Josh Allen,13487207,QB,5700,BUF@TEN 10/06/2019 01:00PM ET,BUF,18.30
RB,Damien Williams (13487304),Damien Williams,13487304,RB/FLEX,5700,IND@KC 10/06/2019 08:20PM ET,KC,13.55
QB,Daniel Jones (13487208),Daniel Jones,13487208,QB,5600,MIN@NYG 10/06/2019 01:00PM ET,NYG,17.91
WR,Allen Robinson II (13487574),Allen Robinson II,13487574,WR/FLEX,5600,CHI@OAK 10/06/2019 01:00PM ET,CHI,13.75
WR,Marquez Valdes-Scantling (13487576),Marquez Valdes-Scantling,13487576,WR/FLEX,5600,GB@DAL 10/06/2019 04:25PM ET,GB,10.92
RB,Marlon Mack (13487306),Marlon Mack,13487306,RB/FLEX,5600,IND@KC 10/06/2019 08:20PM ET,IND,14.35
QB,Cam Newton (13487209),Cam Newton,13487209,QB,5500,JAX@CAR 10/06/2019 01:00PM ET,CAR,11.34
RB,Sony Michel (13487308),Sony Michel,13487308,RB/FLEX,5500,NE@WAS 10/06/2019 01:00PM ET,NE,7.02
WR,Jarvis Landry (13487578),Jarvis Landry,13487578,WR/FLEX,5500,CLE@SF 10/07/2019 08:15PM ET,CLE,13.7
WR,Robert Woods (13487580),Robert Woods,13487580,WR/FLEX,5400,LAR@SEA 10/03/2019 08:20PM ET,LAR,16
RB,Wayne Gallman Jr. (13487310),Wayne Gallman Jr.,13487310,RB/FLEX,5400,MIN@NYG 10/06/2019 01:00PM ET,NYG,10.8
QB,Sam Darnold (13487210),Sam Darnold,13487210,QB,5400,NYJ@PHI 10/06/2019 01:00PM ET,NYJ,13
WR,Brandin Cooks (13487586),Brandin Cooks,13487586,WR/FLEX,5300,LAR@SEA 10/03/2019 08:20PM ET,LAR,14.65
QB,Gardner Minshew II (13487212),Gardner Minshew II,13487212,QB,5300,JAX@CAR 10/06/2019 01:00PM ET,JAX,17.6
WR,Dede Westbrook (13487582),Dede Westbrook,13487582,WR/FLEX,5300,JAX@CAR 10/06/2019 01:00PM ET,JAX,9.28
RB,Devonta Freeman (13487312),Devonta Freeman,13487312,RB/FLEX,5300,ATL@HOU 10/06/2019 01:00PM ET,ATL,11.25
QB,Kirk Cousins (13487211),Kirk Cousins,13487211,QB,5300,MIN@NYG 10/06/2019 01:00PM ET,MIN,11.78
QB,Jacoby Brissett (13487213),Jacoby Brissett,13487213,QB,5300,IND@KC 10/06/2019 08:20PM ET,IND,20.54
WR,Demarcus Robinson (13487584),Demarcus Robinson,13487584,WR/FLEX,5300,IND@KC 10/06/2019 08:20PM ET,KC,15
TE,George Kittle (13487892),George Kittle,13487892,TE/FLEX,5300,CLE@SF 10/07/2019 08:15PM ET,SF,11.17
WR,DJ Moore (13487592),DJ Moore,13487592,WR/FLEX,5200,JAX@CAR 10/06/2019 01:00PM ET,CAR,13.08
WR,John Ross III (13487590),John Ross III,13487590,WR/FLEX,5200,ARI@CIN 10/06/2019 01:00PM ET,CIN,17.95
QB,Teddy Bridgewater (13487214),Teddy Bridgewater,13487214,QB,5200,TB@NO 10/06/2019 01:00PM ET,NO,10.3
RB,David Montgomery (13487314),David Montgomery,13487314,RB/FLEX,5200,CHI@OAK 10/06/2019 01:00PM ET,CHI,10.02
WR,Tyrell Williams (13487588),Tyrell Williams,13487588,WR/FLEX,5200,CHI@OAK 10/06/2019 01:00PM ET,OAK,16.4
RB,Darrel Williams (13487520),Darrel Williams,13487520,RB/FLEX,5200,IND@KC 10/06/2019 08:20PM ET,KC,8.88
QB,Kyle Allen (13487216),Kyle Allen,13487216,QB,5100,JAX@CAR 10/06/2019 01:00PM ET,CAR,15.81
QB,Mitchell Trubisky (13487215),Mitchell Trubisky,13487215,QB,5100,CHI@OAK 10/06/2019 01:00PM ET,CHI,8.90
RB,Jordan Howard (13487316),Jordan Howard,13487316,RB/FLEX,5100,NYJ@PHI 10/06/2019 01:00PM ET,PHI,13.32
QB,Mason Rudolph (13487217),Mason Rudolph,13487217,QB,5100,BAL@PIT 10/06/2019 01:00PM ET,PIT,14.83
WR,John Brown (13487596),John Brown,13487596,WR/FLEX,5100,BUF@TEN 10/06/2019 01:00PM ET,BUF,15.98
WR,Terry McLaurin (13487598),Terry McLaurin,13487598,WR/FLEX,5100,NE@WAS 10/06/2019 01:00PM ET,WAS,20.9
WR,Emmanuel Sanders (13487594),Emmanuel Sanders,13487594,WR/FLEX,5100,DEN@LAC 10/06/2019 04:05PM ET,DEN,17.45
RB,Matt Breida (13487318),Matt Breida,13487318,RB/FLEX,5100,CLE@SF 10/07/2019 08:15PM ET,SF,10.57
WR,DJ Chark Jr. (13487600),DJ Chark Jr.,13487600,WR/FLEX,5000,JAX@CAR 10/06/2019 01:00PM ET,JAX,18.02
WR,Christian Kirk (13487602),Christian Kirk,13487602,WR/FLEX,5000,ARI@CIN 10/06/2019 01:00PM ET,ARI,13.75
QB,Derek Carr (13487218),Derek Carr,13487218,QB,5000,CHI@OAK 10/06/2019 01:00PM ET,OAK,14.36
TE,Darren Waller (13487894),Darren Waller,13487894,TE/FLEX,5000,CHI@OAK 10/06/2019 01:00PM ET,OAK,17.18
QB,Ben Roethlisberger (13487219),Ben Roethlisberger,13487219,QB,5000,BAL@PIT 10/06/2019 01:00PM ET,PIT,6.87
RB,James White (13487320),James White,13487320,RB/FLEX,5000,NE@WAS 10/06/2019 01:00PM ET,NE,12.97
WR,Michael Gallup (13487604),Michael Gallup,13487604,WR/FLEX,5000,GB@DAL 10/06/2019 04:25PM ET,DAL,19.3
WR,Geronimo Allison (13487606),Geronimo Allison,13487606,WR/FLEX,5000,GB@DAL 10/06/2019 04:25PM ET,GB,6.82
WR,Mecole Hardman (13487608),Mecole Hardman,13487608,WR/FLEX,5000,IND@KC 10/06/2019 08:20PM ET,KC,9.1
WR,Calvin Ridley (13487614),Calvin Ridley,13487614,WR/FLEX,4900,ATL@HOU 10/06/2019 01:00PM ET,ATL,12.92
QB,Luke Falk (13487221),Luke Falk,13487221,QB,4900,NYJ@PHI 10/06/2019 01:00PM ET,NYJ,5.42
QB,Marcus Mariota (13487220),Marcus Mariota,13487220,QB,4900,BUF@TEN 10/06/2019 01:00PM ET,TEN,19.88
WR,Phillip Dorsett II (13487610),Phillip Dorsett II,13487610,WR/FLEX,4900,NE@WAS 10/06/2019 01:00PM ET,NE,13.7
RB,Phillip Lindsay (13487322),Phillip Lindsay,13487322,RB/FLEX,4900,DEN@LAC 10/06/2019 04:05PM ET,DEN,14.3
WR,Courtland Sutton (13487612),Courtland Sutton,13487612,WR/FLEX,4900,DEN@LAC 10/06/2019 04:05PM ET,DEN,16.98
TE,Will Dissly (13487898),Will Dissly,13487898,TE/FLEX,4800,LAR@SEA 10/03/2019 08:20PM ET,SEA,15.28
QB,Chase Daniel (13487223),Chase Daniel,13487223,QB,4800,CHI@OAK 10/06/2019 01:00PM ET,CHI,12.2
RB,Tarik Cohen (13487324),Tarik Cohen,13487324,RB/FLEX,4800,CHI@OAK 10/06/2019 01:00PM ET,CHI,7.9
QB,Josh McCown (13487222),Josh McCown,13487222,QB,4800,NYJ@PHI 10/06/2019 01:00PM ET,PHI,0.96
TE,Mark Andrews (13487896),Mark Andrews,13487896,TE/FLEX,4800,BAL@PIT 10/06/2019 01:00PM ET,BAL,18.4
RB,Nyheim Hines (13487326),Nyheim Hines,13487326,RB/FLEX,4800,IND@KC 10/06/2019 08:20PM ET,IND,6.12
WR,Zach Pascal (13487616),Zach Pascal,13487616,WR/FLEX,4800,IND@KC 10/06/2019 08:20PM ET,IND,6.12
QB,DeShone Kizer (13487225),DeShone Kizer,13487225,QB,4700,CHI@OAK 10/06/2019 01:00PM ET,OAK,0
WR,Nelson Agholor (13487618),Nelson Agholor,13487618,WR/FLEX,4700,NYJ@PHI 10/06/2019 01:00PM ET,PHI,13.7
RB,Frank Gore (13487328),Frank Gore,13487328,RB/FLEX,4700,BUF@TEN 10/06/2019 01:00PM ET,BUF,12.28
QB,Joe Flacco (13487224),Joe Flacco,13487224,QB,4700,DEN@LAC 10/06/2019 04:05PM ET,DEN,16.14
RB,Raheem Mostert (13487330),Raheem Mostert,13487330,RB/FLEX,4700,CLE@SF 10/07/2019 08:15PM ET,SF,12
RB,Ronald Jones II (13487334),Ronald Jones II,13487334,RB/FLEX,4600,TB@NO 10/06/2019 01:00PM ET,TB,9.88
WR,Golden Tate (13487624),Golden Tate,13487624,WR/FLEX,4600,MIN@NYG 10/06/2019 01:00PM ET,NYG,0
QB,Mike Glennon (13487226),Mike Glennon,13487226,QB,4600,CHI@OAK 10/06/2019 01:00PM ET,OAK,0
QB,Matt Barkley (13487227),Matt Barkley,13487227,QB,4600,BUF@TEN 10/06/2019 01:00PM ET,BUF,4.08
WR,Cole Beasley (13487626),Cole Beasley,13487626,WR/FLEX,4600,BUF@TEN 10/06/2019 01:00PM ET,BUF,12.65
QB,Case Keenum (13487228),Case Keenum,13487228,QB,4600,NE@WAS 10/06/2019 01:00PM ET,WAS,16.75
RB,Chris Thompson (13487332),Chris Thompson,13487332,RB/FLEX,4600,NE@WAS 10/06/2019 01:00PM ET,WAS,12.42
RB,Royce Freeman (13487336),Royce Freeman,13487336,RB/FLEX,4600,DEN@LAC 10/06/2019 04:05PM ET,DEN,10.65
WR,Parris Campbell (13487622),Parris Campbell,13487622,WR/FLEX,4600,IND@KC 10/06/2019 08:20PM ET,IND,5.48
WR,Marquise Goodwin (13487620),Marquise Goodwin,13487620,WR/FLEX,4600,CLE@SF 10/07/2019 08:15PM ET,SF,8.17
WR,Dante Pettis (13487628),Dante Pettis,13487628,WR/FLEX,4600,CLE@SF 10/07/2019 08:15PM ET,SF,4.78
RB,Malcolm Brown (13487346),Malcolm Brown,13487346,RB/FLEX,4500,LAR@SEA 10/03/2019 08:20PM ET,LAR,6.28
WR,DK Metcalf (13487642),DK Metcalf,13487642,WR/FLEX,4500,LAR@SEA 10/03/2019 08:20PM ET,SEA,9.58
WR,Curtis Samuel (13487640),Curtis Samuel,13487640,WR/FLEX,4500,JAX@CAR 10/06/2019 01:00PM ET,CAR,10.78
WR,Will Fuller V (13487638),Will Fuller V,13487638,WR/FLEX,4500,ATL@HOU 10/06/2019 01:00PM ET,HOU,8.08
TE,Austin Hooper (13487900),Austin Hooper,13487900,TE/FLEX,4500,ATL@HOU 10/06/2019 01:00PM ET,ATL,18.42
QB,Eli Manning (13487229),Eli Manning,13487229,QB,4500,MIN@NYG 10/06/2019 01:00PM ET,NYG,15.52
QB,Sean Mannion (13487230),Sean Mannion,13487230,QB,4500,MIN@NYG 10/06/2019 01:00PM ET,MIN,-0.2
RB,Josh Jacobs (13487344),Josh Jacobs,13487344,RB/FLEX,4500,CHI@OAK 10/06/2019 01:00PM ET,OAK,12.85
RB,Ty Montgomery (13487338),Ty Montgomery,13487338,RB/FLEX,4500,NYJ@PHI 10/06/2019 01:00PM ET,NYJ,2.5
RB,Miles Sanders (13487342),Miles Sanders,13487342,RB/FLEX,4500,NYJ@PHI 10/06/2019 01:00PM ET,PHI,7.8
WR,Robby Anderson (13487632),Robby Anderson,13487632,WR/FLEX,4500,NYJ@PHI 10/06/2019 01:00PM ET,NYJ,7.17
WR,Willie Snead IV (13487630),Willie Snead IV,13487630,WR/FLEX,4500,BAL@PIT 10/06/2019 01:00PM ET,BAL,8.85
WR,Paul Richardson Jr. (13487634),Paul Richardson Jr.,13487634,WR/FLEX,4500,NE@WAS 10/06/2019 01:00PM ET,WAS,11.22
WR,Mike Williams (13487636),Mike Williams,13487636,WR/FLEX,4500,DEN@LAC 10/06/2019 04:05PM ET,LAC,7.9
RB,Jamaal Williams (13487340),Jamaal Williams,13487340,RB/FLEX,4500,GB@DAL 10/06/2019 04:25PM ET,GB,7.05
WR,Diontae Johnson (13487646),Diontae Johnson,13487646,WR/FLEX,4400,BAL@PIT 10/06/2019 01:00PM ET,PIT,10.42
WR,James Washington (13487648),James Washington,13487648,WR/FLEX,4400,BAL@PIT 10/06/2019 01:00PM ET,PIT,3.7
RB,Devin Singletary (13487352),Devin Singletary,13487352,RB/FLEX,4400,BUF@TEN 10/06/2019 01:00PM ET,BUF,13.25
WR,Corey Davis (13487644),Corey Davis,13487644,WR/FLEX,4400,BUF@TEN 10/06/2019 01:00PM ET,TEN,8.58
QB,Jarrett Stidham (13487231),Jarrett Stidham,13487231,QB,4400,NE@WAS 10/06/2019 01:00PM ET,NE,-0.44
QB,Dwayne Haskins Jr. (13487232),Dwayne Haskins Jr.,13487232,QB,4400,NE@WAS 10/06/2019 01:00PM ET,WAS,3.58
RB,Rex Burkhead (13487348),Rex Burkhead,13487348,RB/FLEX,4400,NE@WAS 10/06/2019 01:00PM ET,NE,10.72
RB,Tony Pollard (13487350),Tony Pollard,13487350,RB/FLEX,4400,GB@DAL 10/06/2019 04:25PM ET,DAL,7.68
RB,Jordan Wilkins (13487356),Jordan Wilkins,13487356,RB/FLEX,4400,IND@KC 10/06/2019 08:20PM ET,IND,3.3
RB,Tevin Coleman (13487354),Tevin Coleman,13487354,RB/FLEX,4400,CLE@SF 10/07/2019 08:15PM ET,SF,7.6
WR,Deebo Samuel (13487650),Deebo Samuel,13487650,WR/FLEX,4400,CLE@SF 10/07/2019 08:15PM ET,SF,11.13
RB,Rashaad Penny (13487362),Rashaad Penny,13487362,RB/FLEX,4300,LAR@SEA 10/03/2019 08:20PM ET,SEA,7.65
QB,AJ McCarron (13487234),AJ McCarron,13487234,QB,4300,ATL@HOU 10/06/2019 01:00PM ET,HOU,0
RB,Carlos Hyde (13487358),Carlos Hyde,13487358,RB/FLEX,4300,ATL@HOU 10/06/2019 01:00PM ET,HOU,9.2
WR,Kenny Stills (13487652),Kenny Stills,13487652,WR/FLEX,4300,ATL@HOU 10/06/2019 01:00PM ET,HOU,8.95
QB,Taysom Hill (13487235),Taysom Hill,13487235,QB,4300,TB@NO 10/06/2019 01:00PM ET,NO,3.98
RB,Peyton Barber (13487360),Peyton Barber,13487360,RB/FLEX,4300,TB@NO 10/06/2019 01:00PM ET,TB,9.45
WR,Jamison Crowder (13487654),Jamison Crowder,13487654,WR/FLEX,4300,NYJ@PHI 10/06/2019 01:00PM ET,NYJ,12.27
QB,Robert Griffin III (13487233),Robert Griffin III,13487233,QB,4300,BAL@PIT 10/06/2019 01:00PM ET,BAL,7.1
DST,Patriots  (13488104),Patriots ,13488104,DST,4300,NE@WAS 10/06/2019 01:00PM ET,NE,20.75
TE,Jimmy Graham (13487902),Jimmy Graham,13487902,TE/FLEX,4300,GB@DAL 10/06/2019 04:25PM ET,GB,7.52
QB,Geno Smith (13487240),Geno Smith,13487240,QB,4200,LAR@SEA 10/03/2019 08:20PM ET,SEA,0
QB,Josh Dobbs (13487237),Josh Dobbs,13487237,QB,4200,JAX@CAR 10/06/2019 01:00PM ET,JAX,0
WR,Marqise Lee (13487658),Marqise Lee,13487658,WR/FLEX,4200,JAX@CAR 10/06/2019 01:00PM ET,JAX,0.5
QB,Brett Hundley (13487236),Brett Hundley,13487236,QB,4200,ARI@CIN 10/06/2019 01:00PM ET,ARI,0
QB,Matt Schaub (13487238),Matt Schaub,13487238,QB,4200,ATL@HOU 10/06/2019 01:00PM ET,ATL,0
RB,Duke Johnson (13487364),Duke Johnson,13487364,RB/FLEX,4200,ATL@HOU 10/06/2019 01:00PM ET,HOU,7.58
WR,Mohamed Sanu (13487656),Mohamed Sanu,13487656,WR/FLEX,4200,ATL@HOU 10/06/2019 01:00PM ET,ATL,12.02
WR,A.J. Brown (13487662),A.J. Brown,13487662,WR/FLEX,4200,BUF@TEN 10/06/2019 01:00PM ET,TEN,11.82
RB,Dexter Williams (13487366),Dexter Williams,13487366,RB/FLEX,4200,GB@DAL 10/06/2019 04:25PM ET,GB,0
WR,Randall Cobb (13487660),Randall Cobb,13487660,WR/FLEX,4200,GB@DAL 10/06/2019 04:25PM ET,DAL,9.2
QB,Nick Mullens (13487239),Nick Mullens,13487239,QB,4200,CLE@SF 10/07/2019 08:15PM ET,SF,0
QB,Blake Bortles (13487255),Blake Bortles,13487255,QB,4100,LAR@SEA 10/03/2019 08:20PM ET,LAR,0
QB,Nick Foles (13487251),Nick Foles,13487251,QB,4100,JAX@CAR 10/06/2019 01:00PM ET,JAX,7
WR,Chris Conley (13487664),Chris Conley,13487664,WR/FLEX,4100,JAX@CAR 10/06/2019 01:00PM ET,JAX,10.18
QB,Ryan Finley (13487248),Ryan Finley,13487248,QB,4100,ARI@CIN 10/06/2019 01:00PM ET,CIN,0
QB,Ryan Griffin (13487244),Ryan Griffin,13487244,QB,4100,TB@NO 10/06/2019 01:00PM ET,TB,0
QB,Devlin Hodges (13487250),Devlin Hodges,13487250,QB,4100,BAL@PIT 10/06/2019 01:00PM ET,PIT,0
RB,Jaylen Samuels (13487368),Jaylen Samuels,13487368,RB/FLEX,4100,BAL@PIT 10/06/2019 01:00PM ET,PIT,7.31
QB,Ryan Tannehill (13487242),Ryan Tannehill,13487242,QB,4100,BUF@TEN 10/06/2019 01:00PM ET,TEN,-0.2
QB,Colt McCoy (13487241),Colt McCoy,13487241,QB,4100,NE@WAS 10/06/2019 01:00PM ET,WAS,0
QB,Cody Kessler (13487247),Cody Kessler,13487247,QB,4100,NE@WAS 10/06/2019 01:00PM ET,NE,0
QB,Tyrod Taylor (13487243),Tyrod Taylor,13487243,QB,4100,DEN@LAC 10/06/2019 04:05PM ET,LAC,0.04
QB,Brandon Allen (13487245),Brandon Allen,13487245,QB,4100,DEN@LAC 10/06/2019 04:05PM ET,DEN,0
QB,Cooper Rush (13487246),Cooper Rush,13487246,QB,4100,GB@DAL 10/06/2019 04:25PM ET,DAL,0
QB,Tim Boyle (13487249),Tim Boyle,13487249,QB,4100,GB@DAL 10/06/2019 04:25PM ET,GB,0
QB,Matt Moore (13487253),Matt Moore,13487253,QB,4100,IND@KC 10/06/2019 08:20PM ET,KC,-0.1
QB,Brian Hoyer (13487254),Brian Hoyer,13487254,QB,4100,IND@KC 10/06/2019 08:20PM ET,IND,0
WR,Chester Rogers (13487666),Chester Rogers,13487666,WR/FLEX,4100,IND@KC 10/06/2019 08:20PM ET,IND,4.8
QB,Garrett Gilbert (13487252),Garrett Gilbert,13487252,QB,4100,CLE@SF 10/07/2019 08:15PM ET,CLE,0
RB,Dontrell Hilliard (13487370),Dontrell Hilliard,13487370,RB/FLEX,4100,CLE@SF 10/07/2019 08:15PM ET,CLE,7.4
RB,Jeff Wilson Jr. (13487372),Jeff Wilson Jr.,13487372,RB/FLEX,4100,CLE@SF 10/07/2019 08:15PM ET,SF,14.6
RB,C.J. Prosise (13487380),C.J. Prosise,13487380,RB/FLEX,4000,LAR@SEA 10/03/2019 08:20PM ET,SEA,5.18
QB,Will Grier (13487259),Will Grier,13487259,QB,4000,JAX@CAR 10/06/2019 01:00PM ET,CAR,0
