Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (13487266),Christian McCaffrey,13487266,RB/FLEX,8700,JAX@CAR 10/06/2019 01:00PM ET,CAR,29.48
RB,Alvin Kamara (13487268),Alvin Kamara,13487268,RB/FLEX,8600,TB@NO 10/06/2019 01:00PM ET,NO,19.98
RB,Dalvin Cook (13487270),Dalvin Cook,13487270,RB/FLEX,8400,MIN@NYG 10/06/2019 01:00PM ET,MIN,26.6
RB,Ezekiel Elliott (13487272),Ezekiel Elliott,13487272,RB/FLEX,8300,GB@DAL 10/06/2019 04:25PM ET,DAL,18.18
RB,Saquon Barkley (13487274),Saquon Barkley,13487274,RB/FLEX,8000,MIN@NYG 10/06/2019 01:00PM ET,NYG,18.03
WR,DeAndre Hopkins (13487522),DeAndre Hopkins,13487522,WR/FLEX,7800,ATL@HOU 10/06/2019 01:00PM ET,HOU,15.98
WR,Julio Jones (13487524),Julio Jones,13487524,WR/FLEX,7700,ATL@HOU 10/06/2019 01:00PM ET,ATL,21.2
WR,Davante Adams (13487526),Davante Adams,13487526,WR/FLEX,7600,GB@DAL 10/06/2019 04:25PM ET,GB,17.2
RB,David Johnson (13487276),David Johnson,13487276,RB/FLEX,7500,ARI@CIN 10/06/2019 01:00PM ET,ARI,18.62
QB,Patrick Mahomes (13487190),Patrick Mahomes,13487190,QB,7500,IND@KC 10/06/2019 08:20PM ET,KC,29.45
WR,Keenan Allen (13487528),Keenan Allen,13487528,WR/FLEX,7300,DEN@LAC 10/06/2019 04:05PM ET,LAC,25.88
TE,Travis Kelce (13487886),Travis Kelce,13487886,TE/FLEX,7300,IND@KC 10/06/2019 08:20PM ET,KC,17.48
RB,Nick Chubb (13487278),Nick Chubb,13487278,RB/FLEX,7200,CLE@SF 10/07/2019 08:15PM ET,CLE,22.68
WR,Mike Evans (13487530),Mike Evans,13487530,WR/FLEX,7100,TB@NO 10/06/2019 01:00PM ET,TB,20.45
QB,Lamar Jackson (13487191),Lamar Jackson,13487191,QB,7100,BAL@PIT 10/06/2019 01:00PM ET,BAL,29.55
RB,Melvin Gordon III (13487280),Melvin Gordon III,13487280,RB/FLEX,7000,DEN@LAC 10/06/2019 04:05PM ET,LAC,0
WR,Tyreek Hill (13487534),Tyreek Hill,13487534,WR/FLEX,7000,IND@KC 10/06/2019 08:20PM ET,KC,4.1
WR,Odell Beckham Jr. (13487532),Odell Beckham Jr.,13487532,WR/FLEX,7000,CLE@SF 10/07/2019 08:15PM ET,CLE,15.2
WR,Chris Godwin (13487536),Chris Godwin,13487536,WR/FLEX,6900,TB@NO 10/06/2019 01:00PM ET,TB,23.65
RB,Todd Gurley II (13487284),Todd Gurley II,13487284,RB/FLEX,6800,LAR@SEA 10/03/2019 08:20PM ET,LAR,14.28
RB,Le'Veon Bell (13487282),Le'Veon Bell,13487282,RB/FLEX,6800,NYJ@PHI 10/06/2019 01:00PM ET,NYJ,18.47
WR,Amari Cooper (13487538),Amari Cooper,13487538,WR/FLEX,6800,GB@DAL 10/06/2019 04:25PM ET,DAL,19.15
WR,A.J. Green (13487540),A.J. Green,13487540,WR/FLEX,6700,ARI@CIN 10/06/2019 01:00PM ET,CIN,0
QB,Deshaun Watson (13487192),Deshaun Watson,13487192,QB,6700,ATL@HOU 10/06/2019 01:00PM ET,HOU,21.76
WR,Adam Thielen (13487542),Adam Thielen,13487542,WR/FLEX,6700,MIN@NYG 10/06/2019 01:00PM ET,MIN,12.25
RB,Austin Ekeler (13487286),Austin Ekeler,13487286,RB/FLEX,6700,DEN@LAC 10/06/2019 04:05PM ET,LAC,27
WR,Sammy Watkins (13487544),Sammy Watkins,13487544,WR/FLEX,6700,IND@KC 10/06/2019 08:20PM ET,KC,19.88
WR,Michael Thomas (13487546),Michael Thomas,13487546,WR/FLEX,6600,TB@NO 10/06/2019 01:00PM ET,NO,19.78
WR,Cooper Kupp (13487550),Cooper Kupp,13487550,WR/FLEX,6500,LAR@SEA 10/03/2019 08:20PM ET,LAR,24.55
WR,Tyler Boyd (13487548),Tyler Boyd,13487548,WR/FLEX,6500,ARI@CIN 10/06/2019 01:00PM ET,CIN,14.65
QB,Tom Brady (13487193),Tom Brady,13487193,QB,6500,NE@WAS 10/06/2019 01:00PM ET,NE,20.28
WR,Tyler Lockett (13487554),Tyler Lockett,13487554,WR/FLEX,6400,LAR@SEA 10/03/2019 08:20PM ET,SEA,18.45
RB,Leonard Fournette (13487288),Leonard Fournette,13487288,RB/FLEX,6400,JAX@CAR 10/06/2019 01:00PM ET,JAX,17.45
WR,JuJu Smith-Schuster (13487552),JuJu Smith-Schuster,13487552,WR/FLEX,6400,BAL@PIT 10/06/2019 01:00PM ET,PIT,12.2
QB,Kyler Murray (13487194),Kyler Murray,13487194,QB,6300,ARI@CIN 10/06/2019 01:00PM ET,ARI,20.54
RB,Mark Ingram II (13487290),Mark Ingram II,13487290,RB/FLEX,6300,BAL@PIT 10/06/2019 01:00PM ET,BAL,20.75
WR,Julian Edelman (13487556),Julian Edelman,13487556,WR/FLEX,6300,NE@WAS 10/06/2019 01:00PM ET,NE,12.94
QB,Russell Wilson (13487196),Russell Wilson,13487196,QB,6200,LAR@SEA 10/03/2019 08:20PM ET,SEA,25.86
QB,Jameis Winston (13487195),Jameis Winston,13487195,QB,6200,TB@NO 10/06/2019 01:00PM ET,TB,21.52
WR,Stefon Diggs (13487558),Stefon Diggs,13487558,WR/FLEX,6200,MIN@NYG 10/06/2019 01:00PM ET,MIN,10.22
RB,James Conner (13487292),James Conner,13487292,RB/FLEX,6200,BAL@PIT 10/06/2019 01:00PM ET,PIT,14.8
WR,T.Y. Hilton (13487560),T.Y. Hilton,13487560,WR/FLEX,6200,IND@KC 10/06/2019 08:20PM ET,IND,21.17
QB,Jared Goff (13487198),Jared Goff,13487198,QB,6100,LAR@SEA 10/03/2019 08:20PM ET,LAR,18.84
RB,Joe Mixon (13487294),Joe Mixon,13487294,RB/FLEX,6100,ARI@CIN 10/06/2019 01:00PM ET,CIN,9.28
QB,Carson Wentz (13487197),Carson Wentz,13487197,QB,6100,NYJ@PHI 10/06/2019 01:00PM ET,PHI,22.23
WR,Josh Gordon (13487562),Josh Gordon,13487562,WR/FLEX,6100,NE@WAS 10/06/2019 01:00PM ET,NE,10.55
RB,Chris Carson (13487298),Chris Carson,13487298,RB/FLEX,6000,LAR@SEA 10/03/2019 08:20PM ET,SEA,15.55
WR,Larry Fitzgerald (13487564),Larry Fitzgerald,13487564,WR/FLEX,6000,ARI@CIN 10/06/2019 01:00PM ET,ARI,17.75
TE,Zach Ertz (13487888),Zach Ertz,13487888,TE/FLEX,6000,NYJ@PHI 10/06/2019 01:00PM ET,PHI,12.88
RB,Derrick Henry (13487296),Derrick Henry,13487296,RB/FLEX,6000,BUF@TEN 10/06/2019 01:00PM ET,TEN,18.18
QB,Dak Prescott (13487199),Dak Prescott,13487199,QB,6000,GB@DAL 10/06/2019 04:25PM ET,DAL,24.30
QB,Aaron Rodgers (13487200),Aaron Rodgers,13487200,QB,6000,GB@DAL 10/06/2019 04:25PM ET,GB,18.02
QB,Matt Ryan (13487201),Matt Ryan,13487201,QB,5900,ATL@HOU 10/06/2019 01:00PM ET,ATL,23.7
QB,Drew Brees (13487202),Drew Brees,13487202,QB,5900,TB@NO 10/06/2019 01:00PM ET,NO,12.66
WR,DeSean Jackson (13487566),DeSean Jackson,13487566,WR/FLEX,5900,NYJ@PHI 10/06/2019 01:00PM ET,PHI,19.2
WR,Alshon Jeffery (13487568),Alshon Jeffery,13487568,WR/FLEX,5900,NYJ@PHI 10/06/2019 01:00PM ET,PHI,11.63
RB,Aaron Jones (13487300),Aaron Jones,13487300,RB/FLEX,5900,GB@DAL 10/06/2019 04:25PM ET,GB,16.5
QB,Jimmy Garoppolo (13487203),Jimmy Garoppolo,13487203,QB,5900,CLE@SF 10/07/2019 08:15PM ET,SF,15.82
WR,Sterling Shepard (13487570),Sterling Shepard,13487570,WR/FLEX,5800,MIN@NYG 10/06/2019 01:00PM ET,NYG,19.07
TE,Evan Engram (13487890),Evan Engram,13487890,TE/FLEX,5800,MIN@NYG 10/06/2019 01:00PM ET,NYG,19.52
QB,Philip Rivers (13487204),Philip Rivers,13487204,QB,5800,DEN@LAC 10/06/2019 04:05PM ET,LAC,21.72
RB,LeSean McCoy (13487302),LeSean McCoy,13487302,RB/FLEX,5800,IND@KC 10/06/2019 08:20PM ET,KC,13.88
QB,Baker Mayfield (13487205),Baker Mayfield,13487205,QB,5800,CLE@SF 10/07/2019 08:15PM ET,CLE,15.47
